apple,potato,banana,avocado,strawberry
banana,strawberry,avocado,apple,yams
yams,apple,avocado,
apple,avocado,yams,strawberry
yams,potato,banana
yams,banana,strawberry
avocado,banana,strawberry,apple
strawberry,potato,banana,apple
yams,apple,banana
banana,strawberry,banana,yams
avocado,strawberry,yams,
avocado,yams,strawberry,apple
apple,yams,banana,avocado
strawberry,yams,potato
banana,yams,strawberry,potato
yamss,apple,banana,strawberry
strawberry,potato,banana,potato
avocado,banana,yams,apple
banana,yams,strawberry
yams,banana,apple,avocado
